user,oldPrincipalUsd,cmsAmountUsd,finalPrincipalUsd,skippedReason
0x6ffa259ad47bdf268f97eed1c32938f6c6927057,0.0,0.0,0.0,zero-principal
0x70107f6b1ef15ee17ac8711e634b33561d93a7e9,0.0,0.0,0.0,zero-principal
0x703cf8d4c26e2ee246a2ee8aa41edee6c2d672ee,0.0,0.0,0.0,zero-principal
0x7087c00d236c27007353e5824ae30221be9afb94,0.0,0.0,0.0,zero-principal
0x710fcbd86779d974abd0428595c2ae5ed0754288,10.0,0.0,10.0,
0x7179136a1a3910220e15bf1e712bb54c9e570133,100.0,10.0,110.0,
0x71ecd255d056523bb396d5d4e012859e3a173475,18.0,0.0,18.0,
0x721bfb3b48e27b884c4cedf35062cdba08ae90ec,10.0,10.0,20.0,
0x7289f56bcd12fadc9235ec7d498319704601fe8d,0.0,0.0,0.0,zero-principal
0x728d949e9fe1a31036126726a3a5535ab566e34b,10.0,0.0,10.0,
0x729e619ee46f87a901e4df6181c9f3d48b79bb74,0.0,0.0,0.0,zero-principal
0x7349290fd91ae729f96fd1cd8c45df2153ffb56f,0.0,0.0,0.0,zero-principal
0x737cd40b240a1cf81dd9248f4e633bdc4bd5718b,0.0,0.0,0.0,zero-principal
0x73ac2ce75ad2fce2d3eb1a318bb511418ff4c769,20.0,20.0,40.0,
0x755fdf84b7024e79804b9b7339a45af536c3c164,0.0,10.0,10.0,
0x7578272855aaa8a82d5b65ef311c4e25678b415b,0.0,0.0,0.0,zero-principal
0x75af06217adb3800f2ebafd7353aefe9fe5b6991,0.0,0.0,0.0,zero-principal
0x75bc17e24e9cf2236efa26ee7ce46f42bde53942,0.0,0.0,0.0,zero-principal
0x75c5df8f8d8771e058688e68378cec1da0ca7c75,0.0,40.0,40.0,
0x75c77f520a3ce913e0da3d16bdeb8ac67835c9be,230.0,0.0,230.0,
0x761b37a4d509e77caa134741611e42324d269971,0.0,0.0,0.0,zero-principal
0x78be61444cc117e9e659d6888383866c7a4e4d37,0.0,0.0,0.0,zero-principal
0x7a370c8f1309eb55fc8e5e571d3b95b3188b1bf8,0.0,0.0,0.0,zero-principal
0x7a5ee656af66c728528d737a5b1a94ea84a2b0d4,0.0,0.0,0.0,zero-principal
0x7aeab07edf77f93d542db3e84f6a4e1c719ab135,0.0,0.0,0.0,zero-principal
0x7cad5b26f5cd8d7c37cdc451e1988a751e6b3e99,0.0,0.0,0.0,zero-principal
0x7cd1e77ec93f3cb106f7c8776e45ebc5b70e7c27,0.0,0.0,0.0,zero-principal
0x7e3f1e1e62d754056e3088f551f148af0d0be90b,0.0,0.0,0.0,zero-principal
0x7ebc51541dadaf555f60f99b7af2822cf422623a,0.0,0.0,0.0,zero-principal
0x7ec1f784d4db1c967302e1402bd9248b531b3d29,0.0,0.0,0.0,zero-principal
0x7ece6298065988cc43a43e18365c0dd3d4c572cd,0.0,0.0,0.0,zero-principal
0x7fb281ce9004b38ffda27f205d51a0b282692db4,0.0,0.0,0.0,zero-principal
0x80c0bb5f186d264794fc8efa19d235606f863b95,0.0,0.0,0.0,zero-principal
0x8170585573c8e01422b004583a5607f1bff50d9b,0.0,0.0,0.0,zero-principal
0x81ce2b136598df27996ea3e6f1551a7b9ef40587,0.0,0.0,0.0,zero-principal
0x8355097ba2c69cd8e7fa256c18124ec9d79460e5,0.0,0.0,0.0,zero-principal
0x8498835c2ec0eab789997be99542fb831d33ce57,0.0,0.0,0.0,zero-principal
0x85707f68deff345cad390a04049593ea6833be57,0.0,0.0,0.0,zero-principal
0x864f8f918822092655aaed821008571f8cc4d05d,0.0,0.0,0.0,zero-principal
0x86b350a21cf01e2a111acf6a19af58dec5b29c26,0.0,0.0,0.0,zero-principal
0x86f0e637fb2e41882719b0a35dc424e260bc072d,0.0,0.0,0.0,zero-principal
0x8777542188280ead50b7c5de76c8c518ab62fd48,0.0,0.0,0.0,zero-principal
0x87b117b32bf511e24ec53077668cd5c25b9934f5,0.0,0.0,0.0,zero-principal
0x87f95a22719ca4626beb87242f159cf6cb1c5f82,0.0,0.0,0.0,zero-principal
0x883549299203187dbbda1d98cc9c66f70651a368,0.0,0.0,0.0,zero-principal
0x8894d5737cbaabb0f9a8e54acbbc90b5b0b99a20,0.0,0.0,0.0,zero-principal
0x889c770dad766914610ebe0b184eab2455727aa4,0.0,0.0,0.0,zero-principal
0x8917b9bc82d495f8c0892fc1ee361fd13e801d52,0.0,0.0,0.0,zero-principal
0x8a32e84f1d5162d2e7290f4e0ef2dd8b04167639,0.0,0.0,0.0,zero-principal
0x8a42bdea122e5fe0214269f80178f8425169ef7e,0.0,0.0,0.0,zero-principal
0x8bcf7151148593ea9b6479dfc27eb1e71b6a3b4c,0.0,0.0,0.0,zero-principal
0x8be9de77dd24739963890c7ba1cab7d24350e300,0.0,0.0,0.0,zero-principal
0x8c78d890301375928a743386a85559284ecaa370,0.0,0.0,0.0,zero-principal
0x8c95de88672fac05171d3a67cc50417956e55ca4,0.0,0.0,0.0,zero-principal
0x8d59f6edabccf5f44f1f5b09dc233fdfe69ae467,0.0,0.0,0.0,zero-principal
0x8d79115bcc880e95c8ca1d5b2c3ad8b35839ef8f,0.0,0.0,0.0,zero-principal
0x8e167a7c04f0cd84cfc3d197d2ac8c56f3ba7e13,0.0,0.0,0.0,zero-principal
0x8e23c42fe4f691216459043cb84478052208739c,0.0,0.0,0.0,zero-principal
0x8f67c5464d4da56bd1924586dfbd169ff966e43a,0.0,0.0,0.0,zero-principal
0x8f6ff148e565f584c7167209ebb3649eec1ec445,0.0,0.0,0.0,zero-principal
0x90be425bc159e802bd01c98fa444c3c25cae8fea,0.0,0.0,0.0,zero-principal
0x91c6f2e421e525abcfc086ab3930cdfeeddf25d5,0.0,0.0,0.0,zero-principal
